,®É¶¡,201 [,201 [,201 [Bar],201 [rpm],201 [,201 [ml]
2016/05/04,8:11:26,22.7,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:27,22.6,25.19,7.71,8.2,0.9,0.02
2016/05/04,8:11:28,22.7,25.21,7.7,8.2,0.9,0.02
2016/05/04,8:11:29,22.8,25.21,7.71,8.2,0.9,0.02
2016/05/04,8:11:30,22.8,25.17,7.7,8.2,0.9,0.02
2016/05/04,8:11:31,22.8,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:32,22.7,25.19,7.71,8.2,0.9,0.02
2016/05/04,8:11:33,22.6,25.21,7.71,8.2,0.9,0.02
2016/05/04,8:11:34,22.7,25.24,7.7,8.2,0.9,0.02
2016/05/04,8:11:35,22.6,25.17,7.71,8.1,0.9,0.02
2016/05/04,8:11:36,22.6,25.15,7.71,8.2,0.9,0.02
2016/05/04,8:11:37,22.6,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:38,22.6,25.19,7.71,8.2,0.9,0.02
2016/05/04,8:11:39,22.7,25.24,7.71,8.2,0.9,0.02
2016/05/04,8:11:40,22.9,25.19,7.7,8.1,0.9,0.02
2016/05/04,8:11:41,22.8,25.15,7.71,8.2,0.9,0.02
2016/05/04,8:11:42,22.7,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:43,22.8,25.21,7.7,8.2,0.9,0.02
2016/05/04,8:11:44,22.8,25.24,7.7,8.2,0.9,0.02
2016/05/04,8:11:45,22.9,25.19,7.71,8.1,0.9,0.02
2016/05/04,8:11:46,22.8,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:47,22.8,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:48,22.8,25.19,7.71,8.2,0.9,0.02
2016/05/04,8:11:49,22.8,25.24,7.7,8.2,0.9,0.02
2016/05/04,8:11:50,22.8,25.19,7.7,8.1,0.8,0.02
2016/05/04,8:11:51,22.7,25.15,7.71,8.2,0.9,0.02
2016/05/04,8:11:52,22.6,25.19,7.7,8.2,0.9,0.02
2016/05/04,8:11:53,22.6,25.21,7.7,8.2,0.9,0.02
2016/05/04,8:11:54,22.7,25.24,7.7,8.2,0.8,0.02
2016/05/04,8:11:55,22.7,25.17,7.7,8.1,0.8,0.02
2016/05/04,8:11:56,22.6,25.17,7.71,8.2,0.9,0.02
2016/05/04,8:11:57,22.7,25.19,7.7,8.2,0.9,0.02
