日期,時間,rpm,psi,AI3,外溫,EO流速,內溫
,,即時,即時,即時,即時,即時,即時
,,%,%,%,℃,%,℃
2016/7/20,上午 07:47:10,50,108,19,48.7,0,22.1
2016/7/20,上午 07:47:11,50,107,19,48.8,0,22.1
2016/7/20,上午 07:47:12,49,107,19,48.8,0,22.1
2016/7/20,上午 07:47:13,50,106,19.1,48.9,0,22.1
2016/7/20,上午 07:47:14,49,105,19,49,0,22.1
2016/7/20,上午 07:47:15,49,105,19.1,49,0,22.1
2016/7/20,上午 07:47:16,49,104,19.1,49.1,0,22.1
2016/7/20,上午 07:47:17,50,103,19.1,49.2,0,22.1
2016/7/20,上午 07:47:18,49,103,19.1,49.2,0,22.1
2016/7/20,上午 07:47:19,50,102,19.3,49.3,0,22.1
2016/7/20,上午 07:47:20,49,101,19.1,49.3,0,22.1
2016/7/20,上午 07:47:21,49,100,19.1,49.4,0,22.1
2016/7/20,上午 07:47:22,50,100,19.1,49.5,0,22.1
2016/7/20,上午 07:47:23,50,99,19.1,49.5,0,22.1
2016/7/20,上午 07:47:24,49,99,19.1,49.6,0,22.1
2016/7/20,上午 07:47:25,50,98,19.3,49.7,0,22.1
2016/7/20,上午 07:47:26,49,97,19.1,49.7,0,22.1
2016/7/20,上午 07:47:27,49,97,19.3,49.8,0,22.1
2016/7/20,上午 07:47:28,49,96,19.3,49.9,0,22.1
2016/7/20,上午 07:47:29,50,95,19.3,49.9,0,22.1
2016/7/20,上午 07:47:30,49,95,19.1,50,0,22.1
2016/7/20,上午 07:47:31,50,94,19.1,50,0,22.1
2016/7/20,上午 07:47:32,49,93,19.1,50.1,0,22.1
2016/7/20,上午 07:47:33,49,93,19.1,50.2,0,22.1
2016/7/20,上午 07:47:34,49,92,19.1,50.2,0,22.1
2016/7/20,上午 07:47:35,49,91,19.1,50.3,0,22.1
2016/7/20,上午 07:47:36,49,91,19.1,50.3,0,22.1
2016/7/20,上午 07:47:37,50,90,19.1,50.4,0,22.2
2016/7/20,上午 07:47:38,49,89,19.1,50.5,0,22.1
2016/7/20,上午 07:47:39,49,88,19,50.5,0,22.2
2016/7/20,上午 07:47:40,50,88,19.3,50.6,0,22.2
2016/7/20,上午 07:47:41,50,87,19.3,50.6,0,22.1
2016/7/20,上午 07:47:42,49,87,19.3,50.7,0,22.2
2016/7/20,上午 07:47:43,49,86,19.1,50.8,0,22.2
2016/7/20,上午 07:47:44,49,85,19.1,50.8,0,22.1
2016/7/20,上午 07:47:45,49,85,19.3,50.9,0,22.2
2016/7/20,上午 07:47:46,50,84,19.3,51,0,22.2
2016/7/20,上午 07:47:47,49,83,19.6,51,0,22.2
2016/7/20,上午 07:47:48,50,83,19.4,51.1,0,22.2
2016/7/20,上午 07:47:49,50,82,19.6,51.1,0,22.2
2016/7/20,上午 07:47:50,49,81,19.4,51.2,0,22.2
2016/7/20,上午 07:47:51,49,81,19.4,51.3,0,22.2
2016/7/20,上午 07:47:52,50,80,19.4,51.3,0,22.2
2016/7/20,上午 07:47:53,49,79,19.4,51.4,0,22.2
2016/7/20,上午 07:47:54,50,78,19.4,51.4,0,22.2
2016/7/20,上午 07:47:55,49,77,19.4,51.5,0,22.2
2016/7/20,上午 07:47:56,49,77,19.3,51.6,0,22.2
2016/7/20,上午 07:47:57,49,76,19.4,51.6,0,22.2
2016/7/20,上午 07:47:58,50,75,19.4,51.7,0,22.2
2016/7/20,上午 07:47:59,49,74,19.4,51.7,0,22.2
2016/7/20,上午 07:48:00,50,73,19.4,51.8,0,22.2
2016/7/20,上午 07:48:01,50,72,19.3,51.9,0,22.2
2016/7/20,上午 07:48:02,49,71,19.3,51.9,0,22.2
2016/7/20,上午 07:48:03,49,70,19.1,52,0,22.2
2016/7/20,上午 07:48:04,50,69,19.1,52,0,22.2
2016/7/20,上午 07:48:05,49,69,19.3,52.1,0,22.2
