日期,時間,RPM,PSI,內溫1,外溫,EO流速,內溫2
,,即時,即時,即時,即時,即時,即時
,,rpm,psi,%,℃,ml/min,℃
2016/11/17,上午 10:41:54,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:41:55,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:41:56,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:41:57,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:41:58,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:41:59,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:00,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:01,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:02,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:03,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:04,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:05,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:06,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:07,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:08,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:09,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:10,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:11,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:12,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:13,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:14,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:15,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:16,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:17,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:18,-1,116,22.3,105.2,0,22.1
2016/11/17,上午 10:42:19,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:20,-1,116,22.4,105.2,0,22.1
2016/11/17,上午 10:42:21,-1,117,22.3,105.2,0,22.1
2016/11/17,上午 10:42:22,-1,116,22.4,105.2,0,22.1
2016/11/17,上午 10:42:23,-1,116,22.4,105.2,0,22.1
2016/11/17,上午 10:42:24,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:25,-1,116,22.4,105.2,0,22.1
2016/11/17,上午 10:42:26,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:27,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:28,-1,117,22.4,105.2,0,22.1
2016/11/17,上午 10:42:29,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:30,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:31,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:32,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:33,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:34,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:35,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:36,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:37,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:38,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:39,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:40,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:41,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:42,-1,117,22.4,105.3,0,22.1
2016/11/17,上午 10:42:43,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:42:44,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:42:45,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:42:46,-1,116,22.4,105.3,0,22.1
2016/11/17,上午 10:42:47,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:42:48,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:42:49,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:42:50,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:42:51,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:42:52,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:42:53,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:42:54,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:42:55,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:42:56,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:42:57,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:42:58,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:42:59,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:43:00,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:43:01,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:43:02,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:03,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:43:04,-1,117,22.3,105.4,0,22.1
2016/11/17,上午 10:43:05,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:06,-1,117,22.1,105.4,0,22.1
2016/11/17,上午 10:43:07,-1,117,22.1,105.4,0,22.1
2016/11/17,上午 10:43:08,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:09,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:10,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:11,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:12,-1,116,22.1,105.4,0,22.1
2016/11/17,上午 10:43:13,-1,116,22.3,105.4,0,22.1
2016/11/17,上午 10:43:14,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:43:15,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:43:16,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:43:17,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:43:18,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:43:19,-1,117,22.3,105.3,0,22.1
2016/11/17,上午 10:43:20,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:43:21,-1,116,22.3,105.3,0,22.1
2016/11/17,上午 10:43:22,-1,116,22.1,105.3,0,22.1
2016/11/17,上午 10:43:23,-1,116,22.1,105.3,0,22.1
2016/11/17,上午 10:43:24,-1,116,22.1,105.3,0,22.1
2016/11/17,上午 10:43:25,-1,116,22.1,105.3,0,22.1
2016/11/17,上午 10:43:26,-1,116,22.1,105.3,0,22.1
2016/11/17,上午 10:43:27,-1,117,22.1,105.3,0,22.1
2016/11/17,上午 10:43:28,-1,116,22.1,105.4,0,22.1
2016/11/17,上午 10:43:29,-1,116,22.1,105.4,0,22.1
2016/11/17,上午 10:43:30,-1,116,22.1,105.4,0,22.1
2016/11/17,上午 10:43:31,-1,116,22.1,105.4,0,22.2
2016/11/17,上午 10:43:32,-1,117,22.1,105.4,0,22.1
2016/11/17,上午 10:43:33,-1,116,22.1,105.4,0,22.2
2016/11/17,上午 10:43:34,-1,117,22.1,105.4,0,22.1
2016/11/17,上午 10:43:35,-1,117,22.1,105.4,0,22.2
2016/11/17,上午 10:43:36,-1,116,22.1,105.4,0,22.2
2016/11/17,上午 10:43:37,-1,117,22.1,105.5,0,22.1
2016/11/17,上午 10:43:38,-1,116,22.1,105.5,0,22.1
2016/11/17,上午 10:43:39,-1,116,22.1,105.5,0,22.1
2016/11/17,上午 10:43:40,-1,117,22.1,105.5,0,22.1
2016/11/17,上午 10:43:41,-1,117,22.1,105.5,0,22.1
2016/11/17,上午 10:43:42,-1,116,22.1,105.5,0,22.2
2016/11/17,上午 10:43:43,-1,116,22.1,105.5,0,22.2
2016/11/17,上午 10:43:44,-1,117,22.1,105.5,0,22.1
2016/11/17,上午 10:43:45,-1,116,22.1,105.5,0,22.1
2016/11/17,上午 10:43:46,-1,116,22.1,105.5,0,22.2
2016/11/17,上午 10:43:47,-1,116,22.1,105.5,0,22.2
2016/11/17,上午 10:43:48,-1,116,22.1,105.6,0,22.1
2016/11/17,上午 10:43:49,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:43:50,-1,116,22.1,105.6,0,22.1
2016/11/17,上午 10:43:51,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:43:52,-1,117,22.1,105.6,0,22.1
2016/11/17,上午 10:43:53,-1,117,22.1,105.6,0,22.2
2016/11/17,上午 10:43:54,-1,116,22,105.6,0,22.1
2016/11/17,上午 10:43:55,-1,116,22,105.6,0,22.2
2016/11/17,上午 10:43:56,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:43:57,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:43:58,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:43:59,-1,117,22,105.6,0,22.2
2016/11/17,上午 10:44:00,-1,116,22,105.6,0,22.2
2016/11/17,上午 10:44:01,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:44:02,-1,116,22.1,105.6,0,22.2
2016/11/17,上午 10:44:03,-1,117,22.1,105.6,0,22.2
2016/11/17,上午 10:44:04,-1,116,22.1,105.6,0,22.2
