項次,日期,時間,丙烯儲槽溫度,反應器溫度(底),反應器溫度,反應器溫度,反應器溫度,反應器溫度,反應器溫度(頂),反應器出口冷卻溫度,反應器CHP25%入口加熱帶溫度,出料加熱帶溫度,丙烯儲槽壓力,丙烯pump出口壓力,丙烯pump出口至反應器管線壓力,CHP25% 儲槽壓力,氣液分離槽壓力,CHP25%儲槽液位,氮氣質量流量計,背壓閥壓力,氣體質量流量計,反應器入口丙烯加熱帶,氣體質量流量計總量,反應器壓力差,CHP25% pump出口至反應器壓力,WHSV
單位,年月日,時分秒,℃,℃,℃,℃,℃,℃,℃,℃,℃,℃,Kg/cm2,Kg/cm2,Kg/cm2,Kg/cm2,Kg/cm2,mm,g/hr,Kg/cm2,g/hr,℃,g,Kg/cm2,Kg/cm2,h-1
範圍,每天,,0-50,0-200,0-200,0-200,0-200,0-200,0-200,0-100,0-100,0-100,0-50,0-100,0-100,0-10,0-10,0-500,0-200,0-100,0-250,0-100,0-300,0-10,0-100,0-15
,Date,Time,TI-101,TI-102,TI-103,TI-104,TI-105,TI-106,TI-107,TI-108,TIC-101,TI-301,PI-101,PI-102,PI-103,PI-301,PI-104,LI-301,FIC-201,PIC-101,FI-101,TIC-102,FI-101 TR,DPI-101,PI-302,(尚未建立)
,2016/8/1,07:40:46,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:41:06,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:41:26,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:41:46,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:42:06,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:42:26,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:42:46,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:43:06,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:43:26,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:43:46,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:44:06,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:44:26,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:44:46,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:45:06,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:45:26,217,22.5,22.3,22.8,22.5,22.8,23.1,22.8,0,0,17.3,0.2,13.9,1.3,0,229,0,0,0,22.4,0,13.9,,
,2016/8/1,07:45:46,217,22.2,22,22.2,22.1,22.4,22.4,22.4,0,0,16.3,0.2,13.5,1.2,0,229,0,0,0,23.1,0,13.5,,
,2016/8/1,07:46:06,216,22,21.9,22,22,22.2,22.2,22.3,0,0,16.3,0.1,13.5,1,0,229,0,0,0,23,0,13.5,,
,2016/8/1,07:46:26,217,22.1,22,22.1,22,22.2,22.2,22.3,0,0,16.3,0.1,13.6,1,0,229,0,0,0,23,0,13.6,,
,2016/8/1,07:46:46,217,22.2,22.1,22.2,22,22.2,22.2,22.3,0,0,16.2,0.1,13.5,0.9,0,229,0,0,0,23,0,13.6,,
,2016/8/1,07:47:06,217,22.1,22,22.1,22,22.1,22.2,22.3,0,0,16.3,0.1,13.5,1.2,0,228,0,0,0,23,0,13.5,,
,2016/8/1,07:47:26,217,22.2,22.1,22.2,22,22.2,22.2,22.3,0,0,16.4,0.1,13.5,1.1,0,229,0,0,0,23,0,13.5,,
,2016/8/1,07:47:46,217,22.1,22,22.2,22,22.2,22.2,22.4,0,0,16.4,0.2,13.6,1.2,0,230,0,0,0,23,0,13.5,,
,2016/8/1,07:48:06,217,22.1,22,22.2,22,22.2,22.2,22.3,0,0,16.4,0.1,13.5,1.2,0,229,0,0,0,23,0,13.6,,
,2016/8/1,07:48:26,217,22.1,22.1,22.2,22,22.1,22.2,22.3,0,0,16.2,0.1,13.6,1.1,0,230,0,0,0,23,0,13.6,,
,2016/8/1,07:48:46,217,22.1,22,22.2,22.1,22.2,22.3,22.4,0,0,16.3,0.2,13.7,1.1,0,228,0,0,0,23,0,13.7,,
,2016/8/1,07:49:06,216,22,22,22.1,22,22.1,22.2,22.3,0,0,16.3,0.1,13.6,1,0,230,0,0,0,23,0,13.6,,
,2016/8/1,07:49:26,217,22.1,22,22.2,22,22.2,22.2,22.3,0,0,16.5,0.2,13.6,0.9,0,229,0,0,0,22.9,0,13.6,,
,2016/8/1,07:49:46,217,22.1,22.1,22.3,22,22.1,22.2,22.4,0,0,16.4,0.1,13.6,1.1,0,229,0,0,0,22.9,0,13.6,,
,2016/8/1,07:50:06,218,22.2,22.2,22.3,22.1,22.2,22.3,22.4,0,0,16.3,0.1,13.6,1,0,230,0,0,0,23,0,13.7,,
,2016/8/1,07:50:26,217,22.2,22.1,22.3,22,22.2,22.2,22.4,0,0,16.4,0.2,13.6,1.2,0,228,0,0,0,23,0,13.6,,
,2016/8/1,07:50:46,218,22.2,22.2,22.4,22,22.2,22.3,22.4,0,0,16.2,0.2,13.5,1.2,0,229,0,0,0,23,0,13.5,,
,2016/8/1,07:51:06,217,22.1,22.1,22.3,22,22.1,22.2,22.4,0,0,16.3,0.2,13.6,1.1,0,229,0,0,0,22.9,0,13.6,,
,2016/8/1,07:51:26,217,22.1,22.1,22.3,22,22.1,22.2,22.4,0,0,16.4,0.2,13.6,1.2,0,230,0,0,0,22.9,0,13.6,,
,2016/8/1,07:51:46,217,22.1,22.1,22.3,22,22.2,22.2,22.4,0,0,16.4,0.1,13.5,1.1,0,229,0,0,0,22.9,0,13.5,,
,2016/8/1,07:52:06,217,22.2,22.2,22.3,22.1,22.2,22.3,22.5,0,0,16.4,0.1,13.5,1.2,0,229,0,0,0,22.9,0,13.5,,
,2016/8/1,07:52:26,218,22.2,22.2,22.4,22,22.1,22.2,22.4,0,0,16.4,0.2,13.6,1.1,0,230,0,0,0,22.9,0,13.5,,
,2016/8/1,07:52:46,218,22.2,22.2,22.4,22,22.1,22.2,22.4,0,0,16.3,0.2,13.5,1,0,229,0,0,0,22.9,0,13.5,,
,2016/8/1,07:53:06,217,22.2,22.1,22.3,22,22.1,22.2,22.4,0,0,16.4,0.2,13.5,1.2,0,229,0,0,0,22.9,0,13.6,,
,2016/8/1,07:53:26,217,22.1,22.1,22.3,22,22.1,22.2,22.5,0,0,16.3,0.1,13.6,1.1,0,230,0,0,0,22.9,0,13.6,,
,2016/8/1,07:53:46,217,22.1,22.1,22.3,22,22.2,22.2,22.5,0,0,16.3,0.1,13.5,1.1,0,229,0,0,0,22.9,0,13.5,,
,2016/8/1,07:54:06,217,22.1,22.1,22.4,22,22.1,22.2,22.5,0,0,16.3,0.2,13.6,1.1,0,229,0,0,0,22.9,0,13.5,,
,2016/8/1,07:54:26,217,22.2,22.2,22.4,22,22.2,22.3,22.5,0,0,16.2,0.1,13.6,1.1,0,230,0,0,0,22.9,0,13.5,,
